Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Vitinha,Genoa,9,POR,FW,24-155,90,0,0,0,0,3,1,0,0,28,0,0,2,0.2,0.2,0.0,5,0,8,13,"61,5",1,16,3,6,5,2024-08-17
Junior Messias,Genoa,10,BRA,"FW,RW",33-096,90,1,0,0,1,2,2,0,0,23,0,1,0,1.0,0.0,0.1,4,1,6,8,"75,0",1,13,1,4,1,2024-08-17
Morten Frendrup,Genoa,32,DEN,CM,23-132,90,0,0,0,0,1,1,0,0,34,1,3,2,0.0,0.0,0.0,1,0,20,23,"87,0",3,13,0,1,1,2024-08-17
Milan Badelj,Genoa,47,CRO,CM,35-174,85,0,0,0,0,1,0,0,0,38,1,0,2,0.1,0.1,0.1,2,0,23,28,"82,1",2,20,0,2,1,2024-08-17
Jeff Ekhator,Genoa,21,ITA,LW,17-280,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,2,0,0,0,2024-08-17
Ruslan Malinovskyi,Genoa,17,UKR,CM,31-105,70,0,0,0,0,1,0,0,0,29,1,1,0,0.0,0.0,0.0,1,0,22,25,"88,0",4,18,1,0,0,2024-08-17
Morten Thorsby,Genoa,2,NOR,CM,28-104,20,0,0,0,0,1,0,0,0,6,0,0,1,0.1,0.1,0.0,0,0,2,4,"50,0",1,4,0,0,0,2024-08-17
Aarón Martín,Genoa,3,ESP,"WB,LM",27-117,90,0,0,0,0,0,0,0,0,40,3,1,0,0.0,0.0,0.0,2,0,20,32,"62,5",1,19,2,2,1,2024-08-17
Alessandro Zanoli,Genoa,59,ITA,WB,23-319,70,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,6,"50,0",0,4,0,0,0,2024-08-17
Stefano Sabelli,Genoa,20,ITA,"WB,RM",31-217,20,0,0,0,0,1,0,0,0,10,0,1,1,0.0,0.0,0.1,1,0,2,5,"40,0",0,5,0,0,0,2024-08-17
Koni De Winter,Genoa,4,BEL,CB,22-066,90,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,1,0,25,31,"80,6",1,17,2,0,0,2024-08-17
Mattia Bani,Genoa,13,ITA,CB,30-251,90,0,0,0,0,1,1,0,0,25,1,3,0,0.0,0.0,0.0,1,1,13,17,"76,5",0,9,0,0,0,2024-08-17
Alessandro Vogliacco,Genoa,14,ITA,CB,25-338,59,1,0,0,0,1,1,0,0,30,1,2,1,0.7,0.7,0.0,1,0,20,24,"83,3",2,18,0,0,0,2024-08-17
Johan Vásquez,Genoa,22,MEX,CB,25-300,31,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,9,"44,4",0,2,0,0,0,2024-08-17
Pierluigi Gollini,Genoa,95,ITA,GK,29-152,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,19,33,"57,6",0,15,0,0,0,2024-08-17
Marcus Thuram,Internazionale,9,FRA,FW,27-011,90,2,0,0,0,5,5,0,0,26,1,0,0,0.8,0.8,0.3,2,0,8,14,"57,1",1,16,4,2,1,2024-08-17
Lautaro Martínez,Internazionale,10,ARG,"FW,AM",26-361,85,0,0,0,0,1,1,0,0,25,0,0,1,0.3,0.3,0.0,3,0,14,18,"77,8",2,17,0,1,0,2024-08-17
Kristjan Asllani,Internazionale,21,ALB,CM,22-161,5,0,0,0,0,1,1,1,0,4,0,0,0,0.3,0.3,0.0,0,0,1,2,"50,0",0,1,0,0,0,2024-08-17
Henrikh Mkhitaryan,Internazionale,22,ARM,CM,35-209,65,0,0,0,0,1,0,1,0,33,0,0,1,0.1,0.1,0.0,0,0,21,27,"77,8",4,27,1,2,0,2024-08-17
Davide Frattesi,Internazionale,16,ITA,CM,24-300,25,0,1,0,0,1,0,0,0,11,0,1,1,0.1,0.1,0.5,1,1,4,6,"66,7",2,4,1,3,2,2024-08-17
Hakan Çalhanoğlu,Internazionale,20,TUR,CM,30-191,74,0,0,0,0,1,0,0,0,86,4,0,0,0.0,0.0,0.0,3,0,67,74,"90,5",9,65,2,0,0,2024-08-17
Mehdi Taremi,Internazionale,99,IRN,FW,32-030,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,3,"100,0",1,4,0,0,0,2024-08-17
Nicolò Barella,Internazionale,23,ITA,CM,27-192,90,0,1,0,0,1,0,0,0,71,0,0,1,0.0,0.0,0.2,5,2,55,65,"84,6",8,55,0,2,1,2024-08-17
Federico Dimarco,Internazionale,32,ITA,WB,26-281,74,0,0,0,0,3,0,0,0,35,0,0,0,0.3,0.3,0.1,3,0,25,31,"80,6",3,18,0,0,0,2024-08-17
Carlos Augusto,Internazionale,30,BRA,WB,25-223,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,"71,4",0,3,0,0,0,2024-08-17
Matteo Darmian,Internazionale,36,ITA,WB,34-259,65,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,2,1,27,34,"79,4",1,20,1,0,0,2024-08-17
Denzel Dumfries,Internazionale,2,NED,WB,28-121,25,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,8,12,"66,7",0,6,1,0,0,2024-08-17
Alessandro Bastoni,Internazionale,95,ITA,CB,25-126,90,0,0,0,0,0,0,0,0,88,2,0,1,0.0,0.0,0.1,2,0,67,79,"84,8",5,65,3,0,0,2024-08-17
Francesco Acerbi,Internazionale,15,ITA,CB,36-189,90,0,0,0,0,0,0,0,0,86,2,0,0,0.0,0.0,0.0,0,0,72,78,"92,3",7,61,0,0,0,2024-08-17
Yann Aurel Bisseck,Internazionale,31,GER,CB,23-262,90,0,0,0,0,3,0,0,0,73,0,2,0,0.2,0.2,0.0,2,0,56,60,"93,3",8,51,3,1,0,2024-08-17
Yann Sommer,Internazionale,1,SUI,GK,35-244,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,24,31,"77,4",0,25,0,0,0,2024-08-17
Ange-Yoan Bonny,Parma,13,FRA,FW,20-297,64,0,1,0,0,1,1,0,0,19,0,0,0,0.0,0.0,0.4,6,1,9,13,"69,2",3,11,0,1,1,2024-08-17
Antoine Hainaut,Parma,20,FRA,RW,22-181,26,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,7,"57,1",1,1,0,0,0,2024-08-17
Valentin Mihaila,Parma,28,ROU,LW,24-197,64,0,0,0,0,4,1,0,0,25,3,0,2,1.0,1.0,0.0,3,0,7,13,"53,8",1,10,3,3,2,2024-08-17
Drissa Camara,Parma,23,CIV,LW,22-181,26,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,7,10,"70,0",2,8,1,0,0,2024-08-17
Dennis Man,Parma,98,ROU,RW,25-357,64,1,0,0,0,2,1,0,0,23,1,1,0,0.2,0.2,0.3,4,0,13,18,"72,2",2,9,0,0,0,2024-08-17
Pontus Almqvist,Parma,11,SWE,FW,25-038,26,0,0,0,0,0,0,0,0,9,1,2,0,0.0,0.0,0.2,1,0,4,6,"66,7",0,5,1,1,1,2024-08-17
Adrian Bernabe,Parma,10,ESP,"AM,DM",23-083,79,0,0,0,0,1,0,0,0,31,1,0,2,0.0,0.0,0.0,1,0,20,24,"83,3",2,13,1,1,0,2024-08-17
Wylan Cyprien,Parma,25,FRA,DM,29-202,11,0,0,0,0,1,0,0,0,13,0,0,0,0.2,0.2,0.0,0,0,8,11,"72,7",2,5,1,0,0,2024-08-17
Simon Sohm,Parma,19,SUI,"DM,AM",23-128,75,0,0,0,0,3,3,0,0,25,2,0,0,0.4,0.4,0.0,2,0,8,17,"47,1",1,8,0,1,1,2024-08-17
Matteo Cancellieri,Parma,22,ITA,AM,22-187,15,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,3,5,"60,0",0,5,0,1,0,2024-08-17
Nahuel Estévez,Parma,8,ARG,DM,28-277,90,0,0,0,0,1,0,1,0,40,1,1,2,0.0,0.0,0.0,3,0,22,31,"71,0",2,11,0,0,0,2024-08-17
Emanuele Valeri,Parma,14,ITA,LB,25-254,90,0,0,0,0,0,0,0,0,38,1,2,0,0.0,0.0,0.0,2,1,22,31,"71,0",2,14,3,0,0,2024-08-17
Alessandro Circati,Parma,39,AUS,CB,20-312,90,0,0,0,0,0,0,1,0,46,2,1,1,0.0,0.0,0.0,0,0,27,31,"87,1",1,14,1,0,0,2024-08-17
Botond Balogh,Parma,4,HUN,CB,22-072,90,0,0,0,0,0,0,1,0,23,2,1,0,0.0,0.0,0.0,0,0,11,13,"84,6",1,7,1,0,0,2024-08-17
Woyo Coulibaly,Parma,26,FRA,RB,25-089,90,0,0,0,0,0,0,0,0,43,1,0,2,0.0,0.0,0.0,1,0,24,31,"77,4",4,20,5,3,1,2024-08-17
Zion Suzuki,Parma,31,JPN,GK,21-362,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,37,"75,7",0,22,0,0,0,2024-08-17
Moise Kean,Fiorentina,20,ITA,"FW,AM",24-171,90,0,0,0,0,2,1,0,0,16,0,0,0,0.2,0.2,0.0,1,0,9,10,"90,0",1,6,1,1,0,2024-08-17
Christian Kouamé,Fiorentina,99,CIV,AM,26-255,78,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.2,5,0,19,26,"73,1",4,19,1,3,1,2024-08-17
Riccardo Sottil,Fiorentina,7,ITA,AM,25-075,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,"75,0",0,3,1,0,0,2024-08-17
Andrea Colpani,Fiorentina,23,ITA,AM,25-098,59,0,0,0,0,3,2,0,0,30,0,1,0,0.3,0.3,0.0,1,0,15,20,"75,0",3,20,2,1,0,2024-08-17
Jonathan Ikone,Fiorentina,11,FRA,"AM,CM",26-107,31,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,2,0,5,5,"100,0",1,3,2,0,0,2024-08-17
Sofyan Amrabat,Fiorentina,4,MAR,"CM,CB",27-362,90,0,0,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.1,2,0,52,65,"80,0",8,38,2,0,0,2024-08-17
Rolando Mandragora,Fiorentina,8,ITA,CM,27-049,72,0,0,0,0,3,2,0,0,48,0,0,1,0.1,0.1,0.0,1,0,38,43,"88,4",3,32,2,0,0,2024-08-17
Alessandro Bianco,Fiorentina,42,ITA,CM,21-321,18,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,12,"75,0",0,8,0,0,0,2024-08-17
Cristiano Biraghi,Fiorentina,3,ITA,"WB,CB",31-351,90,1,0,0,0,2,2,0,0,59,0,0,1,0.1,0.1,0.0,2,0,40,57,"70,2",5,24,1,0,0,2024-08-17
Dodô,Fiorentina,2,BRA,WB,25-274,90,0,0,0,0,2,0,0,0,65,0,0,0,0.0,0.0,0.0,7,1,41,53,"77,4",5,45,5,8,3,2024-08-17
Pietro Comuzzo,Fiorentina,15,ITA,CB,19-179,72,0,0,0,0,0,0,0,0,43,0,1,2,0.0,0.0,0.0,0,0,36,38,"94,7",3,21,1,0,0,2024-08-17
Michael Kayode,Fiorentina,33,ITA,CB,20-038,18,0,0,0,0,1,0,0,0,15,1,0,2,0.1,0.1,0.0,2,0,5,6,"83,3",0,6,2,3,3,2024-08-17
Marin Pongračić,Fiorentina,5,CRO,CB,26-341,82,0,0,0,0,0,0,2,1,51,1,2,0,0.0,0.0,0.0,2,0,37,43,"86,0",2,27,0,1,1,2024-08-17
Lucas Martínez Quarta,Fiorentina,28,ARG,CB,28-099,59,0,0,0,0,1,0,0,0,59,2,1,1,0.0,0.0,0.0,0,0,32,40,"80,0",4,32,0,0,0,2024-08-17
Fabiano Parisi,Fiorentina,65,ITA,WB,23-282,31,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,11,12,"91,7",0,11,0,2,1,2024-08-17
Pietro Terracciano,Fiorentina,1,ITA,GK,34-162,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,28,"75,0",0,18,0,0,0,2024-08-17
Luka Jović,Milan,9,SRB,FW,26-238,59,0,0,0,0,1,0,1,0,16,0,1,0,0.1,0.1,0.0,0,0,11,14,"78,6",2,11,1,0,0,2024-08-17
Álvaro Morata,Milan,7,ESP,FW,31-299,31,1,0,0,0,1,1,1,0,11,0,0,0,0.1,0.1,0.0,0,0,5,6,"83,3",1,7,1,0,0,2024-08-17
Rafael Leão,Milan,10,POR,LW,25-068,90,0,0,0,0,7,2,0,0,51,0,0,1,0.9,0.9,0.3,9,0,33,39,"84,6",9,37,6,3,2,2024-08-17
Samuel Chukwueze,Milan,21,NGA,RW,25-087,59,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.0,2,0,9,17,"52,9",0,19,1,1,0,2024-08-17
Theo Hernández,Milan,19,FRA,LB,26-316,31,0,0,0,0,1,0,0,0,27,1,0,0,0.0,0.0,0.1,5,0,24,26,"92,3",6,18,3,0,0,2024-08-17
Christian Pulisic,Milan,11,USA,AM,25-334,72,0,0,0,0,3,0,0,0,44,2,0,0,0.4,0.4,0.1,3,0,28,33,"84,8",5,25,4,3,1,2024-08-17
Yunus Musah,Milan,80,USA,AM,21-262,18,0,1,0,0,5,0,0,0,23,0,0,0,0.1,0.1,0.2,4,1,17,18,"94,4",4,15,1,1,1,2024-08-17
Ruben Loftus-Cheek,Milan,8,ENG,DM,28-207,90,0,0,0,0,0,0,0,0,57,0,0,1,0.0,0.0,0.4,4,0,51,55,"92,7",11,34,3,0,0,2024-08-17
Ismaël Bennacer,Milan,4,ALG,DM,26-260,58,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.1,2,0,43,47,"91,5",4,30,0,3,3,2024-08-17
Tijjani Reijnders,Milan,14,NED,DM,26-019,32,0,0,0,0,3,1,0,0,35,0,0,0,0.1,0.1,0.0,4,2,28,32,"87,5",4,23,2,0,0,2024-08-17
Alexis Saelemaekers,Milan,56,BEL,"LB,RW,RB",25-051,90,0,0,0,0,0,0,0,0,81,1,1,0,0.0,0.0,0.1,9,0,66,78,"84,6",4,59,7,0,0,2024-08-17
Malick Thiaw,Milan,28,GER,CB,23-009,90,0,0,0,0,1,0,0,0,65,1,1,0,0.1,0.1,0.0,1,0,52,58,"89,7",7,34,0,0,0,2024-08-17
Fikayo Tomori,Milan,23,ENG,CB,26-242,90,0,0,0,0,1,0,0,0,55,1,1,1,0.0,0.0,0.0,1,0,44,47,"93,6",3,31,0,0,0,2024-08-17
Davide Calabria,Milan,2,ITA,RB,27-255,82,0,0,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.0,2,0,44,51,"86,3",12,30,2,0,0,2024-08-17
Noah Okafor,Milan,17,SUI,RW,24-085,8,1,0,0,0,1,1,0,0,4,0,0,0,0.2,0.2,0.0,0,0,1,3,"33,3",0,3,0,1,1,2024-08-17
Mike Maignan,Milan,16,FRA,GK,29-045,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,29,30,"96,7",0,23,0,0,0,2024-08-17
Duván Zapata,Torino,91,COL,FW,33-138,71,1,0,0,0,4,2,0,0,19,1,0,0,0.9,0.9,0.0,1,0,8,13,"61,5",0,11,1,0,0,2024-08-17
Yann Karamoh,Torino,7,FRA,FW,26-040,19,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,7,"85,7",2,4,1,0,0,2024-08-17
Antonio Sanabria,Torino,9,PAR,FW,28-166,59,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,0,7,11,"63,6",1,10,0,0,0,2024-08-17
Che Adams,Torino,18,SCO,FW,28-035,31,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,1,0,5,6,"83,3",1,3,0,1,1,2024-08-17
Ivan Ilić,Torino,8,SRB,CM,23-153,70,0,0,0,0,1,1,0,0,35,1,0,0,0.1,0.1,0.0,1,1,23,27,"85,2",0,21,2,0,0,2024-08-17
Adrien Tameze,Torino,61,CMR,CM,30-195,20,0,0,0,0,0,0,1,0,9,0,0,2,0.0,0.0,0.0,0,0,5,5,"100,0",0,4,0,0,0,2024-08-17
Karol Linetty,Torino,77,POL,CM,29-197,90,0,0,0,0,0,0,0,0,50,1,0,0,0.0,0.0,0.0,1,0,42,44,"95,5",1,28,2,0,0,2024-08-17
Samuele Ricci,Torino,28,ITA,CM,22-362,90,0,0,0,0,0,0,1,0,31,0,0,0,0.0,0.0,0.0,2,0,26,27,"96,3",3,18,0,1,1,2024-08-17
Valentino Lazaro,Torino,20,AUT,WB,28-146,87,0,1,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.8,2,1,32,39,"82,1",3,32,2,2,2,2024-08-17
Saba Sazonov,Torino,15,GEO,WB,22-198,3,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-17
Raoul Bellanova,Torino,19,ITA,WB,24-092,87,0,0,0,0,1,0,0,0,51,0,0,0,0.0,0.0,0.1,1,0,31,43,"72,1",0,34,4,1,0,2024-08-17
Ali Dembélé,Torino,21,FRA,WB,20-225,3,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-17
Adam Masina,Torino,5,MAR,CB,30-228,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.0,1,0,50,53,"94,3",0,35,0,0,0,2024-08-17
Saúl Coco,Torino,23,EQG,CB,25-190,90,0,0,0,0,0,0,0,0,65,2,0,3,0.0,0.0,0.0,0,0,50,53,"94,3",2,38,0,0,0,2024-08-17
Mërgim Vojvoda,Torino,27,KVX,CB,29-198,90,0,0,0,0,1,0,1,0,68,0,2,2,0.0,0.0,0.0,2,0,53,57,"93,0",4,49,0,0,0,2024-08-17
Vanja Milinković-Savić,Torino,32,SRB,GK,27-179,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,40,58,"69,0",0,38,0,0,0,2024-08-17
Lorenzo Colombo,Empoli,29,ITA,FW,22-162,84,0,0,0,0,1,0,0,0,18,1,0,1,0.1,0.1,0.0,1,0,7,10,"70,0",0,7,0,2,0,2024-08-17
Francesco Caputo,Empoli,9,ITA,FW,37-011,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,"100,0",0,1,0,0,0,2024-08-17
Sebastiano Esposito,Empoli,99,ITA,AM,22-046,68,0,0,0,0,4,0,0,0,30,5,1,1,0.2,0.2,0.0,1,0,9,16,"56,3",2,17,2,3,0,2024-08-17
Ola Solbakken,Empoli,17,NOR,"FW,RW",25-345,22,0,0,0,0,1,1,0,0,7,1,0,0,0.1,0.1,0.0,1,0,1,3,"33,3",1,2,1,2,2,2024-08-17
Jacopo Fazzini,Empoli,10,ITA,AM,21-154,84,0,0,0,0,0,0,0,0,34,3,0,1,0.0,0.0,0.0,3,0,9,17,"52,9",2,22,2,5,3,2024-08-17
Emmanuel Ekong,Empoli,19,SWE,LW,22-053,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,3,0,0,0,2024-08-17
Youssef Maleh,Empoli,93,MAR,CM,25-361,84,0,0,0,0,1,0,0,0,37,0,2,0,0.0,0.0,0.0,1,0,24,31,"77,4",5,20,0,0,0,2024-08-17
Nicolas Haas,Empoli,32,SUI,CM,28-207,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",0,1,0,0,0,2024-08-17
Liam Henderson,Empoli,6,SCO,CM,28-114,90,0,0,0,0,1,0,0,0,48,0,1,0,0.0,0.0,0.1,3,0,32,45,"71,1",9,17,0,0,0,2024-08-17
Giuseppe Pezzella,Empoli,3,ITA,"WB,LM",26-262,89,0,0,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.1,2,0,16,32,"50,0",1,15,1,2,0,2024-08-17
Liberato Cacace,Empoli,13,NZL,LM,23-325,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-17
Emmanuel Gyasi,Empoli,11,GHA,"WB,RM",30-219,90,0,0,0,0,1,1,0,0,33,2,0,2,0.0,0.0,0.0,0,0,15,25,"60,0",1,16,0,2,1,2024-08-17
Mattia Viti,Empoli,21,ITA,CB,22-206,90,0,0,0,0,1,0,0,0,40,4,0,1,0.0,0.0,0.0,0,0,23,31,"74,2",2,15,1,0,0,2024-08-17
Ardian Ismajli,Empoli,34,ALB,CB,27-322,90,0,0,0,0,1,0,0,0,44,0,0,2,0.0,0.0,0.0,1,0,22,34,"64,7",6,9,0,0,0,2024-08-17
Sebastian Walukiewicz,Empoli,4,POL,CB,24-134,90,0,0,0,0,0,0,0,0,49,0,0,1,0.0,0.0,0.1,4,0,27,39,"69,2",6,14,1,0,0,2024-08-17
Devis Vásquez,Empoli,23,COL,GK,26-097,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,9,19,"47,4",0,15,0,0,0,2024-08-17
Andrea Petagna,Monza,37,ITA,FW,29-048,90,0,0,0,0,3,0,0,0,30,0,1,0,0.1,0.1,0.0,0,0,10,21,"47,6",0,21,2,2,1,2024-08-17
Daniel Maldini,Monza,14,ITA,AM,22-311,61,0,0,0,0,1,0,1,0,25,1,0,1,0.0,0.0,0.0,0,0,6,16,"37,5",1,14,0,4,2,2024-08-17
Dany Mota,Monza,47,POR,AM,26-107,29,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,7,14,"50,0",1,11,1,1,1,2024-08-17
Samuele Vignato,Monza,80,ITA,AM,20-175,68,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,10,15,"66,7",0,12,0,2,0,2024-08-17
Gianluca Caprari,Monza,10,ITA,AM,31-018,22,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,9,12,"75,0",0,11,0,0,0,2024-08-17
Warren Bondo,Monza,38,FRA,CM,20-337,90,0,0,0,0,0,0,0,0,34,2,1,1,0.0,0.0,0.0,1,0,24,30,"80,0",3,23,1,1,0,2024-08-17
Matteo Pessina,Monza,32,ITA,CM,27-118,45,0,0,0,0,0,0,0,0,18,3,0,0,0.0,0.0,0.0,1,0,9,12,"75,0",0,7,0,0,0,2024-08-17
Roberto Gagliardini,Monza,6,ITA,CM,30-132,45,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.2,3,0,25,26,"96,2",1,20,0,0,0,2024-08-17
Giorgos Kyriakopoulos,Monza,77,GRE,WB,28-194,90,0,0,0,0,0,0,0,0,72,1,0,0,0.0,0.0,0.1,2,0,46,64,"71,9",3,32,0,0,0,2024-08-17
Samuele Birindelli,Monza,19,ITA,WB,25-029,90,0,0,0,0,1,1,0,0,48,4,0,2,0.0,0.0,0.0,1,0,28,38,"73,7",1,22,0,0,0,2024-08-17
Luca Caldirola,Monza,5,ITA,CB,33-198,90,0,0,0,0,1,0,1,0,72,0,0,0,0.2,0.2,0.0,0,0,55,65,"84,6",2,53,0,0,0,2024-08-17
Pablo Marí,Monza,22,ESP,CB,30-352,90,0,0,0,0,0,0,0,0,73,1,2,2,0.0,0.0,0.0,0,0,54,63,"85,7",1,49,0,0,0,2024-08-17
Armando Izzo,Monza,4,ITA,CB,32-168,90,0,0,0,0,0,0,0,0,81,0,3,2,0.0,0.0,0.0,0,0,61,69,"88,4",2,52,1,1,0,2024-08-17
Semuel Pizzignacco,Monza,21,ITA,GK,22-351,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,25,40,"62,5",0,25,0,0,0,2024-08-17
Casper Tengstedt,Hellas Verona,11,DEN,FW,24-078,72,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,4,7,"57,1",0,7,0,1,0,2024-08-18
Daniel Mosquera,Hellas Verona,35,COL,FW,24-303,18,2,0,0,0,3,3,0,0,12,0,0,0,1.2,1.2,0.2,1,0,1,5,"20,0",0,5,0,0,0,2024-08-18
Dailon Livramento,Hellas Verona,14,CPV,LW,23-106,73,1,0,0,0,1,1,0,0,18,2,1,2,0.4,0.4,0.0,2,0,5,11,"45,5",0,8,1,1,0,2024-08-18
Abdou Harroui,Hellas Verona,18,NED,LW,26-218,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,2,0,7,8,"87,5",0,5,1,3,2,2024-08-18
Grigoris Kastanos,Hellas Verona,20,CYP,RW,26-201,57,0,0,0,0,1,0,0,0,22,0,0,2,0.0,0.0,0.0,2,0,12,19,"63,2",3,14,0,0,0,2024-08-18
Tomáš Suslov,Hellas Verona,31,SVK,RW,22-072,33,0,0,0,0,0,0,0,0,14,4,0,3,0.0,0.0,0.0,1,1,2,3,"66,7",0,8,0,1,0,2024-08-18
Darko Lazović,Hellas Verona,8,SRB,LM,33-338,90,0,2,0,0,1,0,0,0,34,5,0,2,0.2,0.2,1.1,2,2,12,23,"52,2",3,14,1,2,1,2024-08-18
Suat Serdar,Hellas Verona,25,GER,CM,27-129,20,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,8,"50,0",0,1,0,0,0,2024-08-18
Reda Belahyane,Hellas Verona,6,FRA,CM,20-078,70,0,0,0,0,0,0,1,0,28,1,1,0,0.0,0.0,0.0,1,0,22,25,"88,0",2,15,0,2,2,2024-08-18
Ondrej Duda,Hellas Verona,33,SVK,CM,29-257,90,0,1,0,0,0,0,1,0,45,1,1,1,0.0,0.0,0.4,3,2,29,39,"74,4",7,21,0,1,1,2024-08-18
Jackson Tchatchoua,Hellas Verona,38,CMR,RM,22-339,90,0,0,0,0,1,0,1,0,32,2,2,2,0.0,0.0,0.1,2,0,22,27,"81,5",1,16,2,0,0,2024-08-18
Martin Frese,Hellas Verona,3,DEN,CB,26-227,57,0,0,0,0,0,0,0,0,37,2,1,0,0.0,0.0,0.0,0,0,18,27,"66,7",0,8,0,0,0,2024-08-18
Giangiacomo Magnani,Hellas Verona,23,ITA,CB,28-319,33,0,0,0,0,2,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,5,5,"100,0",0,3,0,0,0,2024-08-18
Diego Coppola,Hellas Verona,42,ITA,CB,20-234,90,0,0,0,0,0,0,1,0,35,0,3,0,0.0,0.0,0.0,0,0,19,25,"76,0",1,9,0,0,0,2024-08-18
Paweł Dawidowicz,Hellas Verona,27,POL,CB,29-090,90,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,22,27,"81,5",1,10,0,0,0,2024-08-18
Lorenzo Montipò,Hellas Verona,1,ITA,GK,28-180,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,11,37,"29,7",0,18,0,0,0,2024-08-18
Giovanni Simeone,Napoli,18,ARG,FW,29-044,78,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,12,18,"66,7",2,13,0,1,0,2024-08-18
Walid Cheddira,Napoli,11,MAR,FW,26-209,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,3,"66,7",1,1,0,0,0,2024-08-18
